Date,Product,Category,Region,Sales,Profit
19-02-2024,Phone,Electronics,South,47597,8904
30-01-2024,Bag,Accessories,South,4806,411
16-01-2024,Sneakers,Fashion,East,48995,8333
20-01-2024,Belt,Accessories,South,2554,281
14-05-2024,Smartwatch,Electronics,East,57453,11236
26-05-2024,Bag,Accessories,West,56402,10025
22-01-2024,Smartwatch,Electronics,East,34334,6166
22-04-2024,T-shirt,Fashion,North,14582,1391
23-06-2024,Belt,Accessories,East,57639,9765
26-04-2024,Bag,Accessories,East,37498,2782
24-05-2024,Laptop,Electronics,West,53003,7525
26-04-2024,Sneakers,Fashion,West,59076,4125
01-01-2024,Sneakers,Fashion,West,27574,2252
14-01-2024,Laptop,Electronics,South,18313,1940
24-01-2024,Bag,Accessories,West,54183,4593
15-06-2024,T-shirt,Fashion,North,54519,5721
22-06-2024,T-shirt,Fashion,North,25485,2070
06-06-2024,Tablet,Electronics,West,42965,4992
11-06-2024,Smartwatch,Electronics,East,20953,2939
30-04-2024,Belt,Accessories,North,31659,5180
17-04-2024,Shoes,Fashion,West,6271,376
18-03-2024,Laptop,Electronics,East,10919,1220
22-06-2024,T-shirt,Fashion,North,51413,2580
20-05-2024,Bag,Accessories,West,17611,2695
12-03-2024,Watch,Accessories,East,49937,5428
06-02-2024,Sneakers,Fashion,West,57922,10353
30-01-2024,Sneakers,Fashion,South,41491,7686
29-05-2024,Phone,Electronics,North,28898,4940
16-05-2024,Camera,Electronics,West,1810,155
27-02-2024,Tablet,Electronics,North,30345,2993
23-06-2024,Shoes,Fashion,East,1322,241
24-04-2024,Watch,Accessories,West,2581,138
06-03-2024,Belt,Accessories,South,9368,1659
18-05-2024,Bag,Accessories,East,35640,6781
22-06-2024,Phone,Electronics,South,14298,954
12-03-2024,Shoes,Fashion,North,15478,2883
14-06-2024,Belt,Accessories,South,10673,829
27-05-2024,Bag,Accessories,South,13091,1533
20-01-2024,Tablet,Electronics,North,44854,7973
28-03-2024,Sneakers,Fashion,South,4943,923
21-06-2024,Belt,Accessories,North,11842,1936
16-06-2024,Belt,Accessories,North,12659,1018
29-02-2024,Bag,Accessories,South,42463,8114
20-02-2024,Tablet,Electronics,West,7840,777
03-04-2024,Headphones,Electronics,North,21795,2154
29-01-2024,Shoes,Fashion,South,58737,7311
06-05-2024,Watch,Accessories,West,48484,6763
29-06-2024,Shoes,Fashion,North,26209,4886
06-02-2024,Phone,Electronics,North,37088,2068
19-05-2024,Shoes,Fashion,North,53372,3683
11-02-2024,Tablet,Electronics,West,19276,1675
20-04-2024,T-shirt,Fashion,South,34831,1996
09-05-2024,Headphones,Electronics,South,46363,8454
12-01-2024,T-shirt,Fashion,North,56468,7977
18-06-2024,Headphones,Electronics,South,6969,584
16-03-2024,Tablet,Electronics,East,41944,4860
22-01-2024,Belt,Accessories,East,24963,4636
03-03-2024,Watch,Accessories,North,7535,1180
21-01-2024,Watch,Accessories,West,41616,7925
21-05-2024,Headphones,Electronics,South,3805,539
17-04-2024,T-shirt,Fashion,North,10443,652
12-06-2024,Headphones,Electronics,West,28554,2363
22-05-2024,Phone,Electronics,West,34308,6501
08-02-2024,T-shirt,Fashion,South,43508,4392
06-06-2024,Bag,Accessories,West,25848,3184
18-01-2024,Smartwatch,Electronics,West,39431,4152
28-02-2024,Sneakers,Fashion,West,22531,4028
27-05-2024,Belt,Accessories,North,29870,4082
21-02-2024,Shoes,Fashion,North,58881,10109
22-05-2024,Tablet,Electronics,West,19832,2325
04-01-2024,Shoes,Fashion,West,10182,1960
18-04-2024,Camera,Electronics,East,34393,4689
19-01-2024,Camera,Electronics,South,58172,9812
14-01-2024,Smartwatch,Electronics,East,39669,2496
06-04-2024,Watch,Accessories,South,17874,2616
18-06-2024,Phone,Electronics,West,33902,4801
08-04-2024,Phone,Electronics,East,51765,2961
03-04-2024,Bag,Accessories,South,17452,2977
02-02-2024,Shoes,Fashion,North,19645,3094
18-06-2024,T-shirt,Fashion,South,3484,293
21-05-2024,Phone,Electronics,West,47571,7083
12-03-2024,Watch,Accessories,West,38088,6638
07-06-2024,Belt,Accessories,North,26348,2024
17-05-2024,Tablet,Electronics,West,23641,1505
10-06-2024,Smartwatch,Electronics,South,57492,9381
21-03-2024,Sneakers,Fashion,South,24853,2096
17-05-2024,Belt,Accessories,North,7700,1426
02-06-2024,T-shirt,Fashion,North,35762,4540
16-04-2024,Shoes,Fashion,East,41134,6444
11-03-2024,Camera,Electronics,South,41339,5410
27-03-2024,Shoes,Fashion,South,13610,2460
08-02-2024,Tablet,Electronics,North,42000,6787
07-05-2024,T-shirt,Fashion,North,38175,6174
20-05-2024,T-shirt,Fashion,South,40034,6844
22-04-2024,Belt,Accessories,North,52942,6918
31-05-2024,T-shirt,Fashion,East,1597,100
20-03-2024,Watch,Accessories,East,29457,3819
01-05-2024,Shoes,Fashion,East,32723,6199
10-03-2024,Camera,Electronics,West,50582,7055
23-02-2024,T-shirt,Fashion,North,51208,10005
21-02-2024,T-shirt,Fashion,North,22774,2479
19-01-2024,Camera,Electronics,East,8188,1401
16-06-2024,Shoes,Fashion,East,2996,509
22-06-2024,Belt,Accessories,North,3012,197
12-04-2024,Camera,Electronics,West,23969,1322
21-04-2024,Phone,Electronics,South,29857,5000
04-01-2024,Laptop,Electronics,South,29110,5559
25-03-2024,Watch,Accessories,West,34346,1900
31-03-2024,Laptop,Electronics,South,20790,2786
17-01-2024,Watch,Accessories,West,10919,1328
25-06-2024,Camera,Electronics,North,30153,3026
08-06-2024,Shoes,Fashion,South,49508,5014
07-02-2024,T-shirt,Fashion,North,31673,1936
21-03-2024,Smartwatch,Electronics,North,58120,7128
28-03-2024,Phone,Electronics,West,41282,5961
16-03-2024,Headphones,Electronics,South,30980,6015
29-06-2024,T-shirt,Fashion,South,31909,5909
18-06-2024,Headphones,Electronics,South,1831,257
16-01-2024,Watch,Accessories,West,39635,3092
23-05-2024,Headphones,Electronics,East,27654,3878
05-02-2024,Laptop,Electronics,South,48670,2767
07-01-2024,Camera,Electronics,West,48431,5982
30-05-2024,Bag,Accessories,West,33344,2604
21-06-2024,Bag,Accessories,West,29881,3752
17-01-2024,Phone,Electronics,West,47880,7175
07-04-2024,Phone,Electronics,North,15454,2340
25-03-2024,Tablet,Electronics,West,3361,661
23-06-2024,Belt,Accessories,West,46287,6659
14-05-2024,Sneakers,Fashion,South,51401,8445
13-06-2024,Phone,Electronics,South,33746,2439
24-05-2024,Bag,Accessories,West,44424,3881
11-05-2024,Headphones,Electronics,East,58785,10679
27-06-2024,Headphones,Electronics,North,50258,9503
22-06-2024,Tablet,Electronics,North,10410,1862
27-02-2024,Sneakers,Fashion,West,19404,2834
26-01-2024,Smartwatch,Electronics,North,5107,327
15-01-2024,Belt,Accessories,East,41974,4083
